Sektor;Jednostka;Rok;Kwartal;Wartosc
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;4;103,8
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;1;103,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;2;103,0
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;3;102,6
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;4;102,8
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;1;102,5
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;2;102,5
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;3;102,5
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;4;102,4
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;1;101,7
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;2;102,6
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;3;103,0
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;4;103,4
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;1;103,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;2;103,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;3;102,7
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;4;103,5
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;1;104,3
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;2;104,7
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;3;105,7
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;4;105,6
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;1;106,8
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;2;105,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;3;107,0
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;4;107,6
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;1;109,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;2;109,8
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;3;109,7
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;4;109,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;1;107,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;2;106,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;3;106,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;4;106,8
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;1;105,7
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;2;107,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;3;108,4
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;4;108,0
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;1;113,6
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;2;112,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;3;113,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;4;113,3
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;1;121,0
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;2;122,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;3;122,3
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;4;121,7
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;1;110,8
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;2;110,0
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;3;109,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;4;109,0
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2026;1;
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2000;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2000;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2000;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2000;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2001;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2001;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2001;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2001;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2002;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2002;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2002;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2002;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2003;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2003;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2003;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2003;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2004;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2004;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2004;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2004;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2005;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2005;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2005;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2005;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2006;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2006;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2006;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2006;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2007;1;117,6
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2007;2;83,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2007;3;100,0
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2007;4;109,5
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2008;1;118,0
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2008;2;88,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2008;3;99,3
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2008;4;110,4
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2009;1;115,3
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2009;2;83,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2009;3;99,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2009;4;106,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2010;1;122,6
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2010;2;78,5
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2010;3;101,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2010;4;110,8
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2011;1;119,5
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2011;2;78,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2011;3;102,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2011;4;107,4
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2012;1;120,7
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2012;2;77,7
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2012;3;103,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2012;4;106,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2013;1;121,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2013;2;78,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2013;3;102,8
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2013;4;105,4
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2014;1;121,6
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2014;2;78,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2014;3;101,5
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2014;4;107,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2015;1;120,6
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2015;2;78,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2015;3;101,5
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2015;4;106,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2016;1;120,0
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2016;2;79,6
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2016;3;101,7
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2016;4;107,8
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2017;1;118,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2017;2;79,6
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2017;3;100,3
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2017;4;111,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2018;1;116,7
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2018;2;80,4
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2018;3;102,7
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2018;4;109,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2019;1;118,5
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2019;2;78,8
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2019;3;107,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2019;4;109,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2020;1;118,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2020;2;79,9
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2020;3;106,4
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2020;4;107,0
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2021;1;118,7
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2021;2;78,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2021;3;105,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2021;4;111,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2022;1;115,6
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2022;2;82,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2022;3;103,8
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2022;4;109,0
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2023;1;122,4
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2023;2;81,0
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2023;3;105,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2023;4;109,2
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2024;1;130,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2024;2;83,8
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2024;3;101,8
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2024;4;108,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2025;1;120,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2025;2;82,5
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2025;3;100,4
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2025;4;109,1
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sferze budżetowej;okres poprzedni=100;2026;1;
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2000;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2000;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2000;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2000;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2001;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2001;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2001;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2001;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2002;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2002;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2002;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2002;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2003;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2003;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2003;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2003;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2004;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2004;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2004;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2004;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2005;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2005;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2005;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2005;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2006;1;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2006;2;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2006;3;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2006;4;.
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2007;1;2737,56
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2007;2;2813,21
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2007;3;2893,07
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2007;4;3106,30
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2008;1;3057,84
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2008;2;3159,30
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2008;3;3194,23
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2008;4;3329,81
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2009;1;3249,29
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2009;2;3276,94
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2009;3;3317,45
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2009;4;3456,61
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2010;1;3340,89
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2010;2;3402,05
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2010;3;3385,23
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2010;4;3605,74
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2011;1;3478,91
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2011;2;3573,27
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2011;3;3593,42
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2011;4;3771,08
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2012;1;3664,16
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2012;2;3681,85
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2012;3;3689,81
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2012;4;3877,50
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2013;1;3740,79
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2013;2;3788,26
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2013;3;3813,25
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2013;4;4005,97
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2014;1;3896,97
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2014;2;3943,91
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2014;3;3939,22
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2014;4;4139,42
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2015;1;4053,71
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2015;2;4066,34
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2015;3;4081,90
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2015;4;4280,80
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2016;1;4201,91
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2016;2;4246,21
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2016;3;4254,20
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2016;4;4404,17
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2017;1;4390,54
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2017;2;4477,18
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2017;3;4510,86
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2017;4;4739,91
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2018;1;4700,11
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2018;2;4812,84
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2018;3;4822,83
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2018;4;5071,41
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2019;1;5015,03
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2019;2;5142,59
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2019;3;5150,15
Przeciętne miesięczne wynagrodzenie nominalne brutto  w sektorze przedsiębiorstw;zł;2019;4;5368,01
