Wskaznik;Jednostka;Rok;Kwartal;Wartosc
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;3;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;4;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;1;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;2;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;3;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;4;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;1;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;2;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;3;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;4;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;1;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;2;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;3;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;4;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;1;93,4
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;2;105,1
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;3;112,0
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;4;117,7
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;1;166,6
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;2;128,9
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;3;116,2
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;4;111,2
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;1;108,7
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;2;116,2
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;3;114,2
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;4;113,7
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;1;105,7
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;2;112,4
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;3;119,3
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;4;116,9
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;1;92,6
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;2;95,0
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;3;97,8
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;4;101,8
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;1;126,7
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;2;139,6
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;3;130,1
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;4;125,9
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;1;136,6
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;2;108,5
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;3;102,1
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;4;100,6
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;1;79,9
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;2;72,3
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;3;79,5
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;4;84,7
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;1;110,5
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;2;117,0
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;3;112,4
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;4;108,6
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;1;108,5
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;2;102,2
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;3;100,9
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;4;104,2
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;1;79,3
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;2;83,0
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;3;81,1
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;4;85,5
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;1;102,0
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;2;114,8
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;3;122,2
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;4;116,7
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;1;141,3
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;2;132,3
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;3;126,7
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;4;122,0
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;1;119,0
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;2;107,5
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;3;108,7
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;4;102,6
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;1;107,1
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;2;106,7
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;3;98,5
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;4;98,0
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;1;88,8
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;2;96,4
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;3;100,0
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;4;102,8
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;1;114,0
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;2;105,8
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;3;102,8
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;4;102,8
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;1;113,6
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;2;110,6
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;3;110,5
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;4;111,3
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;1;83,8
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;2;92,5
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;3;91,9
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;4;93,3
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;1;101,9
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;2;96,5
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;3;98,4
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;4;96,9
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2026;1;92,4
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;1;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;2;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;3;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;4;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;1;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;2;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;3;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;4;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;1;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;2;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;3;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;4;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;1;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;2;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;3;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;4;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;1;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;2;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;3;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;4;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;1;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;2;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;3;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;4;.
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;1;109,6
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;2;115,9
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;3;116,2
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;4;118,1
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;1;139,9
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;2;129,5
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;3;126,9
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;4;124,2
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;1;118,2
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;2;117,5
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;3;112,9
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;4;111,9
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;1;104,6
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;2;102,6
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;3;98,1
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;4;94,7
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;1;84,4
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;2;94,0
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;3;101,5
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;4;107,7
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;1;130,7
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;2;129,6
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;3;128,4
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;4;129,8
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;1;110,3
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;2;106,1
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;3;102,8
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;4;98,4
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;1;87,2
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;2;86,1
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;3;91,0
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;4;93,0
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;1;118,1
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;2;116,2
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;3;111,0
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;4;107,5
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;1;103,8
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;2;101,3
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;3;103,4
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;4;102,4
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;1;88,4
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;2;88,8
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;3;85,8
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;4;84,8
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;1;102,1
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;2;104,8
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;3;108,1
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;4;111,1
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;1;115,8
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;2;111,7
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;3;112,8
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;4;110,3
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;1;106,7
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;2;108,5
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;3;101,7
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;4;102,9
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;1;109,0
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;2;101,8
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;3;100,6
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;4;101,3
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;1;91,6
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;2;103,7
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;3;110,6
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;4;109,3
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;1;116,2
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;2;105,8
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;3;104,6
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;4;105,3
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;1;105,2
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;2;106,7
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;3;104,0
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;4;102,8
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;1;91,2
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;2;89,4
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;3;89,9
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;4;90,2
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;1;106,6
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;2;107,6
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;3;108,4
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;4;110,4
roboty budowlane specjalistyczne;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2026;1;92,3
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2000;1;22,2
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2000;2;24,2
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2000;3;9,8
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2000;4;-24,4
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2001;1;1,9
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2001;2;8,1
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2001;3;-1,9
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2001;4;-35,1
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2002;1;-10,0
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2002;2;6,8
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2002;3;-0,1
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2002;4;-29,0
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2003;1;-6,4
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2003;2;18,5
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2003;3;0,4
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2003;4;-28,4
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2004;1;-19,8
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2004;2;7,7
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2004;3;10,0
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2004;4;-4,7
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2005;1;-6,9
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2005;2;15,6
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2005;3;22,4
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2005;4;7,4
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2006;1;2,7
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2006;2;27,0
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2006;3;31,6
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2006;4;20,3
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2007;1;18,7
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2007;2;30,0
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2007;3;27,4
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2007;4;15,6
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2008;1;18,4
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2008;2;23,9
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2008;3;19,0
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2008;4;-5,9
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2009;1;-30,1
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2009;2;-8,0
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2009;3;-4,8
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2009;4;-15,5
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2010;1;-5,6
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2010;2;2,0
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2010;3;-1,4
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2010;4;-19,5
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2011;1;-5,3
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2011;2;3,6
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2011;3;-4,2
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2011;4;-22,7
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2012;1;-11,8
Wskaźnik ogólnego klimatu koniunktury w budownictwie (w miesiącu kończącym okres);;2012;2;-14,3
